ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CREDIT_INQUIRIES,EXISTING_LOAN_BALANCE
5000000,M,N,Y,511900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12357,-3357,0,79400.0
5000001,F,N,Y,220700.0,Working,Higher education,Married,House / apartment,-8369,-993,0,164400.0
5000002,F,N,Y,146700.0,Working,Secondary / secondary special,Married,House / apartment,-12830,-4636,1,174800.0
5000003,F,Y,Y,234900.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-21031,-9617,0,198500.0
5000004,M,N,Y,167700.0,Working,Secondary / secondary special,Married,Rented apartment,-15202,-661,0,111400.0
5000005,M,Y,N,162300.0,Working,Secondary / secondary special,Married,House / apartment,-12661,-4465,1,0.0
5000006,M,N,Y,274300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12902,-2687,0,299900.0
5000007,F,N,Y,99100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17188,-9997,1,0.0
5000008,F,Y,N,107300.0,Working,Higher education,Civil marriage,House / apartment,-12859,-6106,1,69300.0
5000009,F,N,N,223000.0,Commercial associate,Higher education,Married,House / apartment,-18498,-5451,0,0.0
5000010,M,Y,N,218400.0,Commercial associate,Lower secondary,Married,House / apartment,-24655,-14159,0,5500.0
5000011,F,N,N,262300.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-8377,365243,0,0.0
5000012,F,N,N,564200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10566,-1366,1,326200.0
5000013,M,N,Y,232800.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10744,-2904,3,209700.0
5000014,M,Y,Y,297900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15344,-827,1,0.0
5000015,M,Y,Y,135600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8381,-418,2,0.0
5000016,M,Y,Y,324300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15867,-8058,2,93200.0
5000017,F,Y,Y,169800.0,Working,Secondary / secondary special,Widow,House / apartment,-23616,-13077,1,61600.0
5000018,F,N,Y,228900.0,State servant,Secondary / secondary special,Widow,House / apartment,-7868,-774,4,264200.0
5000019,M,N,Y,209200.0,Working,Secondary / secondary special,Married,House / apartment,-13935,-2621,1,0.0
5000020,F,N,Y,370300.0,Working,Incomplete higher,Single / not married,House / apartment,-20732,-6485,0,360800.0
5000021,M,N,Y,114700.0,Working,Secondary / secondary special,Separated,House / apartment,-10322,-3283,2,61200.0
5000022,M,N,N,70500.0,Commercial associate,Lower secondary,Married,House / apartment,-9001,-656,0,0.0
5000023,M,N,Y,198500.0,Working,Higher education,Married,House / apartment,-18498,-3644,1,179200.0
5000024,F,N,N,279200.0,State servant,Secondary / secondary special,Single / not married,Rented apartment,-7841,-1034,1,186200.0
5000025,F,N,Y,238400.0,State servant,Higher education,Widow,House / apartment,-21434,-13676,1,0.0
5000026,M,Y,N,409000.0,State servant,Higher education,Single / not married,House / apartment,-8817,-374,4,0.0
5000027,F,Y,N,274900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16671,-8151,2,159900.0
5000028,F,N,N,166600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20375,-8967,3,132300.0
5000029,M,Y,N,69100.0,Working,Secondary / secondary special,Married,House / apartment,-11824,-1352,2,22800.0
5000030,F,Y,Y,196200.0,State servant,Higher education,Married,House / apartment,-9447,-2216,1,215200.0
5000031,M,N,N,369300.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-10685,-3041,2,32600.0
5000032,M,N,N,181600.0,Working,Secondary / secondary special,Married,House / apartment,-22342,-2231,2,0.0
5000033,F,N,N,224100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19786,-6726,2,0.0
5000034,F,Y,N,272700.0,Working,Secondary / secondary special,Separated,House / apartment,-11070,-3453,0,74100.0
5000035,F,N,Y,133000.0,Working,Secondary / secondary special,Married,House / apartment,-19963,-2712,1,13400.0
5000036,M,N,N,301700.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19834,-6234,0,0.0
5000037,M,N,Y,500800.0,Pensioner,Higher education,Married,With parents,-24797,365243,0,540300.0
5000038,F,N,Y,202600.0,State servant,Higher education,Married,House / apartment,-14391,-1104,0,0.0
5000039,F,N,Y,125600.0,Commercial associate,Higher education,Married,House / apartment,-22516,-4609,0,0.0
5000040,M,N,N,213700.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-15334,365243,1,14500.0
5000041,F,N,Y,72600.0,Working,Higher education,Married,House / apartment,-23081,-3326,0,32200.0
5000042,M,Y,Y,261400.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-9242,365243,2,33800.0
5000043,F,N,Y,277000.0,Working,Secondary / secondary special,Married,House / apartment,-10679,-2163,0,0.0
5000044,M,N,N,510600.0,Commercial associate,Academic degree,Married,House / apartment,-22261,-2219,2,75400.0
5000045,F,N,Y,200500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21734,-5710,1,191400.0
5000046,M,N,Y,271000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12913,-1876,2,0.0
5000047,F,N,Y,143600.0,Working,Secondary / secondary special,Married,House / apartment,-17915,-8507,1,140700.0
5000048,F,Y,N,184800.0,Working,Secondary / secondary special,Married,House / apartment,-14239,-5418,1,212900.0
5000049,M,N,N,103000.0,Pensioner,Higher education,Civil marriage,With parents,-7847,365243,1,0.0
5000050,F,Y,N,200400.0,Working,Secondary / secondary special,Married,House / apartment,-8118,-311,2,56100.0
5000051,F,N,Y,189600.0,Working,Higher education,Married,House / apartment,-8601,-1941,2,67600.0
5000052,F,Y,N,256500.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-17868,-8457,1,261000.0
5000053,F,Y,Y,161700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12463,-3697,2,182000.0
5000054,F,N,Y,230300.0,Working,Secondary / secondary special,Married,House / apartment,-10141,-1799,2,183600.0
5000055,F,N,Y,187000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-23826,-2749,1,136600.0
5000056,M,N,Y,187200.0,Working,Higher education,Married,Municipal apartment,-9752,-3064,0,167800.0
5000057,M,Y,N,230000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19240,-280,2,242800.0
5000058,M,N,Y,225400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-23020,-10173,1,0.0
5000059,M,Y,Y,323200.0,Working,Lower secondary,Married,With parents,-10482,-2073,2,202400.0
5000060,M,N,Y,208000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-11356,-4333,2,0.0
5000061,M,N,Y,185400.0,Working,Secondary / secondary special,Married,House / apartment,-17520,-4280,2,0.0
5000062,F,N,Y,201800.0,Pensioner,Secondary / secondary special,Married,Co-op apartment,-16398,365243,0,0.0
5000063,M,Y,Y,154500.0,State servant,Secondary / secondary special,Married,House / apartment,-16614,-5295,0,174600.0
5000064,M,N,Y,184500.0,Working,Secondary / secondary special,Married,House / apartment,-17192,-7929,2,0.0
5000065,F,Y,N,609900.0,Working,Secondary / secondary special,Married,House / apartment,-23976,-868,2,341000.0
5000066,M,N,N,140000.0,Working,Higher education,Married,House / apartment,-8594,-282,2,50900.0
5000067,F,Y,N,192200.0,Working,Secondary / secondary special,Married,House / apartment,-20724,-3139,2,209600.0
5000068,M,N,Y,182000.0,Working,Higher education,Married,House / apartment,-11661,-900,3,0.0
5000069,F,Y,N,195200.0,State servant,Secondary / secondary special,Married,House / apartment,-14085,-229,1,18300.0
5000070,F,N,N,187200.0,Working,Secondary / secondary special,Married,House / apartment,-9203,-1706,1,194900.0
5000071,M,N,N,254000.0,Working,Higher education,Married,House / apartment,-15320,-6998,3,143500.0
5000072,M,N,Y,93900.0,Working,Higher education,Married,House / apartment,-21476,-13991,2,84400.0
5000073,F,Y,Y,371000.0,Working,Secondary / secondary special,Married,House / apartment,-9365,-1332,0,0.0
5000074,F,N,N,303100.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12401,-1761,1,276600.0
5000075,F,N,Y,118700.0,Working,Higher education,Single / not married,House / apartment,-14074,-6504,0,0.0
5000076,F,N,Y,71000.0,Working,Incomplete higher,Married,House / apartment,-9453,-2459,4,0.0
5000077,M,Y,Y,135500.0,Working,Lower secondary,Married,House / apartment,-20756,-8930,0,7900.0
5000078,M,N,Y,195700.0,Pensioner,Higher education,Married,House / apartment,-21179,365243,1,75600.0
5000079,M,N,N,800000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22019,-4123,1,813600.0
