ID,MONTHS_BALANCE,STATUS
5000000,0,C
5000000,-1,X
5000000,-2,X
5000000,-3,0
5000000,-4,C
5000000,-5,C
5000000,-6,0
5000000,-7,0
5000000,-8,0
5000000,-9,0
5000000,-10,0
5000000,-11,X
5000000,-12,X
5000000,-13,0
5000001,0,C
5000001,-1,C
5000001,-2,0
5000001,-3,C
5000001,-4,0
5000001,-5,C
5000001,-6,0
5000001,-7,C
5000001,-8,C
5000001,-9,0
5000001,-10,X
5000001,-11,C
5000001,-12,C
5000001,-13,0
5000001,-14,C
5000001,-15,0
5000001,-16,0
5000001,-17,C
5000001,-18,2
5000001,-19,1
5000001,-20,C
5000001,-21,1
5000002,0,X
5000002,-1,C
5000002,-2,C
5000002,-3,0
5000002,-4,1
5000002,-5,0
5000002,-6,C
5000002,-7,C
5000002,-8,C
5000002,-9,C
5000002,-10,0
5000002,-11,C
5000002,-12,C
5000002,-13,X
5000002,-14,0
5000002,-15,0
5000002,-16,X
5000002,-17,C
5000002,-18,0
5000002,-19,0
5000002,-20,C
5000003,0,C
5000003,-1,C
5000003,-2,C
5000003,-3,0
5000003,-4,C
5000003,-5,X
5000003,-6,0
5000003,-7,0
5000003,-8,0
5000003,-9,C
5000003,-10,0
5000003,-11,C
5000003,-12,0
5000003,-13,C
5000003,-14,C
5000004,0,C
5000004,-1,C
5000004,-2,C
5000004,-3,C
5000004,-4,0
5000004,-5,1
5000004,-6,C
5000004,-7,1
5000004,-8,0
5000004,-9,0
5000004,-10,X
5000004,-11,C
5000004,-12,C
5000004,-13,C
5000004,-14,C
5000004,-15,C
5000004,-16,C
5000004,-17,C
5000004,-18,C
5000004,-19,X
5000004,-20,1
5000004,-21,1
5000004,-22,C
5000004,-23,C
5000005,0,X
5000005,-1,0
5000005,-2,0
5000005,-3,C
5000005,-4,C
5000005,-5,C
5000005,-6,C
5000005,-7,C
5000005,-8,C
5000005,-9,C
5000005,-10,C
5000005,-11,0
5000005,-12,C
5000005,-13,C
5000005,-14,X
5000005,-15,X
5000005,-16,C
5000005,-17,C
5000005,-18,C
5000005,-19,C
5000005,-20,0
5000005,-21,0
5000006,0,0
5000006,-1,0
5000006,-2,X
5000006,-3,0
5000006,-4,0
5000006,-5,X
5000006,-6,C
5000006,-7,C
5000006,-8,C
5000006,-9,X
5000006,-10,0
5000006,-11,0
5000006,-12,C
5000006,-13,C
5000006,-14,0
5000006,-15,C
5000006,-16,X
5000006,-17,0
5000006,-18,0
5000006,-19,0
5000006,-20,C
5000006,-21,0
5000006,-22,C
5000007,0,C
5000007,-1,X
5000007,-2,0
5000007,-3,0
5000007,-4,0
5000007,-5,X
5000007,-6,C
5000007,-7,0
5000007,-8,C
5000007,-9,1
5000007,-10,1
5000007,-11,C
5000007,-12,C
5000007,-13,0
5000007,-14,X
5000008,0,0
5000008,-1,0
5000008,-2,0
5000008,-3,C
5000008,-4,X
5000008,-5,C
5000008,-6,C
5000008,-7,C
